                     date locationtest  value abbreviation location  population
location_name                                                                  
Puerto Rico    2020-01-24           72      0           PR       72   3754939.0
Puerto Rico    2020-01-25           72      0           PR       72   3754939.0
Puerto Rico    2020-01-26           72      0           PR       72   3754939.0
Puerto Rico    2020-01-27           72      0           PR       72   3754939.0
Puerto Rico    2020-01-28           72      0           PR       72   3754939.0
...                   ...          ...    ...          ...      ...         ...
Puerto Rico    2021-01-07           72    286           PR       72   3754939.0
Puerto Rico    2021-01-08           72   2169           PR       72   3754939.0
Puerto Rico    2021-01-09           72    563           PR       72   3754939.0
Puerto Rico    2021-01-10           72    489           PR       72   3754939.0
Puerto Rico    2021-01-11           72    349           PR       72   3754939.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
    beta_1[83]      0.04      0.00      0.04      0.03      0.05    181.41      1.01
    beta_1[84]      0.04      0.00      0.04      0.03      0.05    177.85      1.00
    beta_1[85]      0.04      0.00      0.04      0.03      0.05    181.80      1.00
    beta_1[86]      0.04      0.00      0.04      0.03      0.05    207.99      1.01
    beta_1[87]      0.04      0.00      0.04      0.03      0.05    211.54      1.00
    beta_1[88]      0.04      0.00      0.04      0.03      0.05    214.74      1.00
    beta_1[89]      0.04      0.00      0.04      0.03      0.05    219.09      1.00
    beta_1[90]      0.04      0.00      0.04      0.04      0.05    223.55      1.00
    beta_1[91]      0.04      0.00      0.04      0.04      0.05    221.59      1.00
    beta_1[92]      0.04      0.00      0.04      0.03      0.05    228.09      1.00
    beta_1[93]      0.04      0.00      0.04      0.03      0.05    224.23      1.00
    beta_1[94]      0.04      0.00      0.04      0.03      0.05    225.75      1.00
    beta_1[95]      0.04      0.00      0.04      0.03      0.05    226.88      1.00
    beta_1[96]      0.04      0.00      0.04      0.03      0.05    225.76      1.00
    beta_1[97]      0.04      0.00      0.04      0.03      0.05    232.12      1.00
    beta_1[98]      0.04      0.00      0.04      0.03      0.05    230.74      1.00
    beta_1[99]      0.04      0.00      0.04      0.03      0.05    238.89      1.00
   beta_1[100]      0.04      0.00      0.04      0.03      0.05    240.00      1.00
   beta_1[101]      0.04      0.00      0.04      0.03      0.05    244.92      1.00
   beta_1[102]      0.04      0.00      0.04      0.03      0.05    242.58      1.00
   beta_1[103]      0.04      0.00      0.04      0.03      0.05    237.69      1.00
   beta_1[104]      0.04      0.00      0.04      0.03      0.05    236.38      1.00
   beta_1[105]      0.04      0.00      0.04      0.03      0.05    240.43      1.00
   beta_1[106]      0.04      0.00      0.04      0.03      0.04    231.68      1.00
   beta_1[107]      0.04      0.00      0.04      0.03      0.04    241.37      1.00
   beta_1[108]      0.04      0.00      0.04      0.03      0.04    248.75      1.00
   beta_1[109]      0.04      0.00      0.04      0.03      0.04    253.74      1.00
   beta_1[110]      0.04      0.00      0.04      0.03      0.04    257.22      1.00
   beta_1[111]      0.04      0.00      0.04      0.03      0.04    255.24      1.00
   beta_1[112]      0.04      0.00      0.04      0.03      0.04    249.96      1.00
   beta_1[113]      0.03      0.00      0.03      0.03      0.04    250.38      1.01
   beta_1[114]      0.03      0.00      0.03      0.03      0.04    249.27      1.01
   beta_1[115]      0.03      0.00      0.03      0.03      0.04    242.60      1.01
   beta_1[116]      0.03      0.00      0.03      0.03      0.04    236.66      1.01
   beta_1[117]      0.03      0.00      0.03      0.03      0.04    232.01      1.01
   beta_1[118]      0.03      0.00      0.03      0.03      0.04    225.03      1.01
   beta_1[119]      0.03      0.00      0.03      0.03      0.04    224.45      1.01
