                            date locationtest  ...  location population
location_name                                  ...                     
District of Columbia  2020-01-24           11  ...        11   705749.0
District of Columbia  2020-01-25           11  ...        11   705749.0
District of Columbia  2020-01-26           11  ...        11   705749.0
District of Columbia  2020-01-27           11  ...        11   705749.0
District of Columbia  2020-01-28           11  ...        11   705749.0
...                          ...          ...  ...       ...        ...
District of Columbia  2021-01-07           11  ...        11   705749.0
District of Columbia  2021-01-08           11  ...        11   705749.0
District of Columbia  2021-01-09           11  ...        11   705749.0
District of Columbia  2021-01-10           11  ...        11   705749.0
District of Columbia  2021-01-11           11  ...        11   705749.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
    beta_1[92]      0.05      0.00      0.05      0.04      0.05    547.10      1.00
    beta_1[93]      0.05      0.00      0.05      0.04      0.05    578.30      1.00
    beta_1[94]      0.05      0.00      0.05      0.04      0.05    616.51      1.00
    beta_1[95]      0.05      0.00      0.05      0.04      0.05    618.57      1.00
    beta_1[96]      0.05      0.00      0.05      0.04      0.05    693.84      1.00
    beta_1[97]      0.04      0.00      0.04      0.04      0.05    713.55      1.00
    beta_1[98]      0.04      0.00      0.04      0.04      0.05    730.02      1.00
    beta_1[99]      0.04      0.00      0.04      0.04      0.04    736.09      1.00
   beta_1[100]      0.04      0.00      0.04      0.04      0.04    772.02      1.00
   beta_1[101]      0.04      0.00      0.04      0.04      0.04    849.54      1.00
   beta_1[102]      0.04      0.00      0.04      0.03      0.04    883.26      1.00
   beta_1[103]      0.04      0.00      0.04      0.03      0.04    982.78      1.00
   beta_1[104]      0.04      0.00      0.04      0.03      0.04    996.54      1.00
   beta_1[105]      0.04      0.00      0.04      0.03      0.04   1139.66      1.00
   beta_1[106]      0.03      0.00      0.03      0.03      0.04   1170.77      1.00
   beta_1[107]      0.03      0.00      0.03      0.03      0.04   1261.13      1.00
   beta_1[108]      0.03      0.00      0.03      0.03      0.03   1226.70      1.00
   beta_1[109]      0.03      0.00      0.03      0.03      0.03   1226.07      1.00
   beta_1[110]      0.03      0.00      0.03      0.03      0.03   1280.68      1.00
   beta_1[111]      0.03      0.00      0.03      0.03      0.03   1282.24      1.00
   beta_1[112]      0.03      0.00      0.03      0.02      0.03   1391.48      1.00
   beta_1[113]      0.03      0.00      0.03      0.02      0.03   1439.64      1.00
   beta_1[114]      0.02      0.00      0.02      0.02      0.03   1474.72      1.00
   beta_1[115]      0.02      0.00      0.02      0.02      0.03   1411.96      1.00
   beta_1[116]      0.02      0.00      0.02      0.02      0.02   1380.12      1.00
   beta_1[117]      0.02      0.00      0.02      0.02      0.02   1523.03      1.00
   beta_1[118]      0.02      0.00      0.02      0.02      0.02   1662.94      1.00
   beta_1[119]      0.02      0.00      0.02      0.02      0.02   1597.17      1.00
   beta_1[120]      0.02      0.00      0.02      0.01      0.02   1437.73      1.00
   beta_1[121]      0.02      0.00      0.02      0.01      0.02   1583.30      1.00
   beta_1[122]      0.02      0.00      0.02      0.01      0.02   1680.38      1.00
   beta_1[123]      0.01      0.00      0.01      0.01      0.02   1723.65      1.00
   beta_1[124]      0.01      0.00      0.01      0.01      0.02   1630.39      1.00
   beta_1[125]      0.01      0.00      0.01      0.01      0.02   1666.69      1.00
   beta_1[126]      0.01      0.00      0.01      0.01      0.01   1776.04      1.00
   beta_1[127]      0.01      0.00      0.01      0.01      0.01   1570.90      1.00
   beta_1[128]      0.01      0.00      0.01      0.01      0.01   1675.53      1.00
   beta_1[129]      0.01      0.00      0.01      0.01      0.01   1680.58      1.00
   beta_1[130]      0.01      0.00      0.01      0.01      0.01   1861.05      1.00
   beta_1[131]      0.01      0.00      0.01      0.01      0.01   1897.51      1.00
   beta_1[132]      0.01      0.00      0.01      0.01      0.01   1882.25      1.00
   beta_1[133]      0.01      0.00      0.01      0.01      0.01   1909.51      1.00
   beta_1[134]      0.01      0.00      0.01      0.01      0.01   1893.26      1.00
   beta_1[135]      0.01      0.00      0.01      0.01      0.01   1974.23      1.00
   beta_1[136]      0.01      0.00      0.01      0.01      0.01   1978.06      1.00
   beta_1[137]      0.01      0.00      0.01      0.01      0.01   1921.49      1.00
   beta_1[138]      0.01      0.00      0.01      0.01      0.01   1932.20      1.00
   beta_1[139]      0.01      0.00      0.01      0.01      0.01   1922.01      1.00
   beta_1[140]      0.01      0.00      0.01      0.01      0.01   1900.48      1.00
   beta_1[141]      0.01      0.00      0.01      0.01      0.01   2005.51      1.00
   beta_1[142]      0.01      0.00      0.01      0.00      0.01   1815.58      1.00
   beta_1[143]      0.01      0.00      0.01      0.00      0.01   2024.19      1.00
   beta_1[144]      0.01      0.00      0.01      0.00      0.01   2043.50      1.00
   beta_1[145]      0.01      0.00      0.01      0.00      0.01   2122.61      1.00
   beta_1[146]      0.01      0.00      0.01      0.00      0.01   2017.39      1.00
   beta_1[147]      0.01      0.00      0.01      0.00      0.01   1946.15      1.00
   beta_1[148]      0.01      0.00      0.01      0.00      0.01   1920.89      1.00
   beta_1[149]      0.01      0.00      0.01      0.00      0.01   1951.33      1.00
   beta_1[150]      0.00      0.00      0.00      0.00      0.01   2038.00      1.00
   beta_1[151]      0.00      0.00      0.00      0.00      0.01   1987.42      1.00
   beta_1[152]      0.00      0.00      0.00      0.00      0.01   1921.23      1.00
   beta_1[153]      0.00      0.00      0.00      0.00      0.01   1993.85      1.00
   beta_1[154]      0.00      0.00      0.00      0.00      0.01   2084.53      1.00
   beta_1[155]      0.00      0.00      0.00      0.00      0.01   1946.52      1.00
   beta_1[156]      0.00      0.00      0.00      0.00      0.01   1785.82      1.00
   beta_1[157]      0.00      0.00      0.00      0.00      0.01   1677.36      1.00
   beta_1[158]      0.00      0.00      0.00      0.00      0.01   1794.69      1.00
   beta_1[159]      0.00      0.00      0.00      0.00      0.01   1813.30      1.00
   beta_1[160]      0.00      0.00      0.00      0.00      0.01   1857.32      1.00
   beta_1[161]      0.00      0.00      0.00      0.00      0.01   1942.23      1.00
   beta_1[162]      0.00      0.00      0.00      0.00      0.01   1911.95      1.00
   beta_1[163]      0.00      0.00      0.00      0.00      0.01   1824.46      1.00
   beta_1[164]      0.00      0.00      0.00      0.00      0.01   1717.73      1.00
   beta_1[165]      0.00      0.00      0.00      0.00      0.01   1747.68      1.00
   beta_1[166]      0.00      0.00      0.00      0.00      0.01   1860.46      1.00
   beta_1[167]      0.00      0.00      0.00      0.00      0.01   1971.15      1.00
   beta_1[168]      0.00      0.00      0.00      0.00      0.00   1944.32      1.00
   beta_1[169]      0.00      0.00      0.00     -0.00      0.00   1893.76      1.00
   beta_1[170]      0.00      0.00      0.00     -0.00      0.00   1972.31      1.00
