,state,date,h,cp
206,AK,2020-09-26,2,0.0
207,AK,2020-09-26,3,0.0
208,AK,2020-10-03,0,0.0
209,AK,2020-10-03,1,0.0
210,AK,2020-10-03,2,0.0
211,AK,2020-10-03,3,1.0
212,AK,2020-10-10,0,1.0
213,AK,2020-10-10,1,0.0
214,AK,2020-10-10,2,1.0
215,AK,2020-10-10,3,0.0
216,AK,2020-10-17,0,0.0
217,AK,2020-10-17,1,1.0
218,AK,2020-10-17,2,0.0
219,AK,2020-10-17,3,1.0
220,AK,2020-10-24,0,1.0
221,AK,2020-10-24,1,0.0
222,AK,2020-10-24,2,1.0
223,AK,2020-10-24,3,1.0
224,AK,2020-10-31,0,0.0
225,AK,2020-10-31,1,0.0
226,AK,2020-10-31,2,0.0
227,AK,2020-10-31,3,1.0
228,AK,2020-11-07,0,1.0
229,AK,2020-11-07,1,0.0
230,AK,2020-11-07,2,1.0
231,AK,2020-11-07,3,1.0
232,AK,2020-11-14,0,0.0
233,AK,2020-11-14,1,1.0
234,AK,2020-11-14,2,1.0
235,AK,2020-11-14,3,1.0
236,AK,2020-11-21,0,1.0
237,AK,2020-11-21,1,1.0
238,AK,2020-11-21,2,1.0
239,AK,2020-11-21,3,1.0
240,AK,2020-11-28,0,1.0
241,AK,2020-11-28,1,1.0
242,AK,2020-11-28,2,1.0
243,AK,2020-11-28,3,1.0
244,AK,2020-12-05,0,1.0
245,AK,2020-12-05,1,0.0
246,AK,2020-12-05,2,1.0
247,AK,2020-12-05,3,1.0
248,AK,2020-12-12,0,0.0
249,AK,2020-12-12,1,0.0
250,AK,2020-12-12,2,0.0
251,AK,2020-12-12,3,0.0
252,AK,2020-12-19,0,1.0
253,AK,2020-12-19,1,1.0
254,AK,2020-12-19,2,1.0
255,AK,2020-12-19,3,1.0
256,AZ,2020-05-16,0,1.0
257,AZ,2020-05-16,1,1.0
258,AZ,2020-05-16,2,1.0
259,AZ,2020-05-16,3,1.0
260,AZ,2020-05-23,0,1.0
261,AZ,2020-05-23,1,1.0
262,AZ,2020-05-23,2,1.0
263,AZ,2020-05-23,3,1.0
264,AZ,2020-05-30,0,1.0
265,AZ,2020-05-30,1,1.0
266,AZ,2020-05-30,2,1.0
267,AZ,2020-05-30,3,1.0
268,AZ,2020-06-06,0,1.0
269,AZ,2020-06-06,1,1.0
270,AZ,2020-06-06,2,1.0
271,AZ,2020-06-06,3,1.0
272,AZ,2020-06-13,0,1.0
273,AZ,2020-06-13,1,1.0
274,AZ,2020-06-13,2,1.0
275,AZ,2020-06-13,3,1.0
276,AZ,2020-06-20,0,1.0
277,AZ,2020-06-20,1,1.0
278,AZ,2020-06-20,2,1.0
279,AZ,2020-06-20,3,1.0
280,AZ,2020-06-27,0,1.0
281,AZ,2020-06-27,1,1.0
282,AZ,2020-06-27,2,1.0
283,AZ,2020-06-27,3,1.0
284,AZ,2020-07-04,0,1.0
285,AZ,2020-07-04,1,1.0
286,AZ,2020-07-04,2,1.0
287,AZ,2020-07-04,3,1.0
288,AZ,2020-07-11,0,1.0
289,AZ,2020-07-11,1,1.0
290,AZ,2020-07-11,2,1.0
291,AZ,2020-07-11,3,1.0
292,AZ,2020-07-18,0,1.0
293,AZ,2020-07-18,1,1.0
294,AZ,2020-07-18,2,1.0
295,AZ,2020-07-18,3,1.0
296,AZ,2020-07-25,0,1.0
297,AZ,2020-07-25,1,1.0
298,AZ,2020-07-25,2,1.0
299,AZ,2020-07-25,3,1.0
300,AZ,2020-08-01,0,1.0
301,AZ,2020-08-01,1,1.0
302,AZ,2020-08-01,2,1.0
303,AZ,2020-08-01,3,1.0
304,AZ,2020-08-08,0,1.0
305,AZ,2020-08-08,1,1.0
306,AZ,2020-08-08,2,1.0
307,AZ,2020-08-08,3,1.0
308,AZ,2020-08-15,0,1.0
309,AZ,2020-08-15,1,1.0
310,AZ,2020-08-15,2,1.0
311,AZ,2020-08-15,3,1.0
312,AZ,2020-08-22,0,1.0
313,AZ,2020-08-22,1,1.0
314,AZ,2020-08-22,2,1.0
315,AZ,2020-08-22,3,1.0
316,AZ,2020-08-29,0,1.0
317,AZ,2020-08-29,1,1.0
318,AZ,2020-08-29,2,1.0
319,AZ,2020-08-29,3,1.0
320,AZ,2020-09-05,0,1.0
321,AZ,2020-09-05,1,1.0
322,AZ,2020-09-05,2,1.0
323,AZ,2020-09-05,3,1.0
324,AZ,2020-09-12,0,1.0
325,AZ,2020-09-12,1,1.0
326,AZ,2020-09-12,2,1.0
327,AZ,2020-09-12,3,1.0
328,AZ,2020-09-19,0,1.0
329,AZ,2020-09-19,1,1.0
330,AZ,2020-09-19,2,1.0
331,AZ,2020-09-19,3,1.0
332,AZ,2020-09-26,0,1.0
333,AZ,2020-09-26,1,0.0
334,AZ,2020-09-26,2,1.0
335,AZ,2020-09-26,3,1.0
336,AZ,2020-10-03,0,1.0
337,AZ,2020-10-03,1,1.0
338,AZ,2020-10-03,2,1.0
339,AZ,2020-10-03,3,1.0
340,AZ,2020-10-10,0,1.0
341,AZ,2020-10-10,1,1.0
342,AZ,2020-10-10,2,1.0
343,AZ,2020-10-10,3,1.0
344,AZ,2020-10-17,0,1.0
345,AZ,2020-10-17,1,1.0
346,AZ,2020-10-17,2,1.0
347,AZ,2020-10-17,3,1.0
348,AZ,2020-10-24,0,1.0
349,AZ,2020-10-24,1,1.0
350,AZ,2020-10-24,2,1.0
351,AZ,2020-10-24,3,1.0
352,AZ,2020-10-31,0,1.0
353,AZ,2020-10-31,1,1.0
354,AZ,2020-10-31,2,1.0
355,AZ,2020-10-31,3,1.0
356,AZ,2020-11-07,0,1.0
357,AZ,2020-11-07,1,1.0
358,AZ,2020-11-07,2,1.0
359,AZ,2020-11-07,3,1.0
360,AZ,2020-11-14,0,1.0
361,AZ,2020-11-14,1,1.0
362,AZ,2020-11-14,2,1.0
363,AZ,2020-11-14,3,1.0
364,AZ,2020-11-21,0,1.0
365,AZ,2020-11-21,1,1.0
366,AZ,2020-11-21,2,1.0
367,AZ,2020-11-21,3,1.0
368,AZ,2020-11-28,0,1.0
369,AZ,2020-11-28,1,1.0
370,AZ,2020-11-28,2,1.0
371,AZ,2020-11-28,3,1.0
372,AZ,2020-12-05,0,1.0
373,AZ,2020-12-05,1,1.0
374,AZ,2020-12-05,2,1.0
375,AZ,2020-12-05,3,1.0
376,AZ,2020-12-12,0,1.0
377,AZ,2020-12-12,1,1.0
378,AZ,2020-12-12,2,1.0
379,AZ,2020-12-12,3,1.0
380,AZ,2020-12-19,0,1.0
381,AZ,2020-12-19,1,1.0
382,AZ,2020-12-19,2,1.0
