                     date locationtest  value abbreviation location  population
location_name                                                                  
New Jersey     2020-01-24           34      0           NJ       34   8882190.0
New Jersey     2020-01-25           34      0           NJ       34   8882190.0
New Jersey     2020-01-26           34      0           NJ       34   8882190.0
New Jersey     2020-01-27           34      0           NJ       34   8882190.0
New Jersey     2020-01-28           34      0           NJ       34   8882190.0
...                   ...          ...    ...          ...      ...         ...
New Jersey     2021-01-07           34   6704           NJ       34   8882190.0
New Jersey     2021-01-08           34   5931           NJ       34   8882190.0
New Jersey     2021-01-09           34   6558           NJ       34   8882190.0
New Jersey     2021-01-10           34   5578           NJ       34   8882190.0
New Jersey     2021-01-11           34   5334           NJ       34   8882190.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
   beta_1[109]      0.01      0.00      0.01      0.01      0.01   2020.37      1.00
   beta_1[110]      0.01      0.00      0.01      0.01      0.01   2018.35      1.00
   beta_1[111]      0.01      0.00      0.01      0.01      0.01   1910.50      1.00
   beta_1[112]      0.01      0.00      0.01      0.01      0.01   2033.79      1.00
   beta_1[113]      0.01      0.00      0.01      0.01      0.01   2256.24      1.00
   beta_1[114]      0.01      0.00      0.01      0.01      0.01   2211.94      1.00
   beta_1[115]      0.01      0.00      0.01      0.01      0.01   2414.59      1.00
   beta_1[116]      0.01      0.00      0.01      0.01      0.01   2220.26      1.00
   beta_1[117]      0.01      0.00      0.01      0.01      0.01   2254.20      1.00
   beta_1[118]      0.01      0.00      0.01      0.01      0.01   2203.97      1.00
   beta_1[119]      0.01      0.00      0.01      0.00      0.01   2303.02      1.00
   beta_1[120]      0.01      0.00      0.01      0.00      0.01   2220.74      1.00
   beta_1[121]      0.01      0.00      0.01      0.00      0.01   2035.64      1.00
   beta_1[122]      0.00      0.00      0.00      0.00      0.01   1838.07      1.00
   beta_1[123]      0.00      0.00      0.00      0.00      0.01   1992.82      1.00
   beta_1[124]      0.01      0.00      0.01      0.00      0.01   2241.65      1.00
   beta_1[125]      0.01      0.00      0.01      0.00      0.01   1896.98      1.00
   beta_1[126]      0.01      0.00      0.01      0.00      0.01   1933.95      1.00
   beta_1[127]      0.00      0.00      0.00      0.00      0.01   2247.97      1.00
   beta_1[128]      0.00      0.00      0.00      0.00      0.01   2495.81      1.00
   beta_1[129]      0.00      0.00      0.00      0.00      0.01   2071.99      1.00
   beta_1[130]      0.00      0.00      0.00      0.00      0.01   2278.92      1.00
   beta_1[131]      0.00      0.00      0.00      0.00      0.01   2429.78      1.00
   beta_1[132]      0.00      0.00      0.00      0.00      0.01   2467.08      1.00
   beta_1[133]      0.00      0.00      0.00      0.00      0.01   2685.72      1.00
   beta_1[134]      0.00      0.00      0.00      0.00      0.01   2442.43      1.00
   beta_1[135]      0.00      0.00      0.00      0.00      0.01   2303.86      1.00
   beta_1[136]      0.00      0.00      0.00      0.00      0.01   2271.34      1.00
   beta_1[137]      0.00      0.00      0.00      0.00      0.01   2385.63      1.00
   beta_1[138]      0.00      0.00      0.00      0.00      0.01   2241.98      1.00
   beta_1[139]      0.00      0.00      0.00      0.00      0.01   2512.44      1.00
   beta_1[140]      0.00      0.00      0.00      0.00      0.01   2832.48      1.00
   beta_1[141]      0.00      0.00      0.00      0.00      0.01   2146.17      1.00
   beta_1[142]      0.00      0.00      0.00      0.00      0.01   2163.35      1.00
   beta_1[143]      0.00      0.00      0.00      0.00      0.00   2211.33      1.00
   beta_1[144]      0.00      0.00      0.00      0.00      0.00   2623.64      1.00
   beta_1[145]      0.00      0.00      0.00      0.00      0.00   2401.76      1.00
   beta_1[146]      0.00      0.00      0.00      0.00      0.00   2107.55      1.00
   beta_1[147]      0.00      0.00      0.00      0.00      0.00   2132.03      1.00
   beta_1[148]      0.00      0.00      0.00      0.00      0.00   2655.45      1.00
   beta_1[149]      0.00      0.00      0.00      0.00      0.00   2594.14      1.00
   beta_1[150]      0.00      0.00      0.00      0.00      0.00   2370.63      1.00
   beta_1[151]      0.00      0.00      0.00      0.00      0.00   2325.23      1.00
   beta_1[152]      0.00      0.00      0.00      0.00      0.00   2413.52      1.00
   beta_1[153]      0.00      0.00      0.00     -0.00      0.00   2557.69      1.00
   beta_1[154]      0.00      0.00      0.00     -0.00      0.00   2508.48      1.00
   beta_1[155]      0.00      0.00      0.00     -0.00      0.00   2310.95      1.00
   beta_1[156]      0.00      0.00      0.00     -0.00      0.00   2370.10      1.00
   beta_1[157]      0.00      0.00      0.00     -0.00      0.00   2107.31      1.00
   beta_1[158]      0.00      0.00      0.00     -0.00      0.00   2439.71      1.00
   beta_1[159]      0.00      0.00      0.00      0.00      0.00   2155.25      1.00
   beta_1[160]      0.00      0.00      0.00      0.00      0.00   2349.30      1.00
   beta_1[161]      0.00      0.00      0.00      0.00      0.00   2537.53      1.00
   beta_1[162]      0.00      0.00      0.00      0.00      0.00   2238.53      1.00
   beta_1[163]      0.00      0.00      0.00      0.00      0.00   1946.12      1.00
   beta_1[164]      0.00      0.00      0.00      0.00      0.00   2321.24      1.00
   beta_1[165]      0.00      0.00      0.00      0.00      0.00   2233.66      1.00
   beta_1[166]      0.00      0.00      0.00      0.00      0.00   2173.90      1.00
   beta_1[167]      0.00      0.00      0.00      0.00      0.00   2342.89      1.00
   beta_1[168]      0.00      0.00      0.00      0.00      0.00   2410.99      1.00
   beta_1[169]      0.00      0.00      0.00      0.00      0.00   2189.98      1.00
   beta_1[170]      0.00      0.00      0.00     -0.00      0.00   2178.74      1.00
   beta_1[171]      0.00      0.00      0.00     -0.00      0.00   2361.11      1.00
   beta_1[172]      0.00      0.00      0.00     -0.00      0.00   2834.41      1.00
   beta_1[173]      0.00      0.00      0.00     -0.00      0.00   2762.16      1.00
   beta_1[174]      0.00      0.00      0.00     -0.00      0.00   2505.92      1.00
   beta_1[175]      0.00      0.00      0.00     -0.00      0.00   2434.42      1.00
   beta_1[176]      0.00      0.00      0.00     -0.00      0.00   2477.39      1.00
   beta_1[177]      0.00      0.00      0.00     -0.00      0.00   2809.02      1.00
   beta_1[178]      0.00      0.00      0.00     -0.00      0.00   2406.20      1.00
   beta_1[179]      0.00      0.00      0.00     -0.00      0.00   2525.20      1.00
   beta_1[180]      0.00      0.00      0.00     -0.00      0.00   2718.15      1.00
   beta_1[181]      0.00      0.00      0.00     -0.00      0.00   2846.96      1.00
   beta_1[182]      0.00      0.00      0.00     -0.00      0.00   2713.38      1.00
   beta_1[183]      0.00      0.00      0.00     -0.00      0.00   2838.91      1.00
   beta_1[184]      0.00      0.00      0.00     -0.00      0.00   2710.61      1.00
   beta_1[185]      0.00      0.00      0.00     -0.00      0.00   2618.67      1.00
   beta_1[186]      0.00      0.00      0.00     -0.00      0.00   2800.05      1.00
   beta_1[187]      0.00      0.00      0.00     -0.00      0.00   2765.33      1.00
   beta_1[188]      0.00      0.00      0.00     -0.00      0.00   2910.12      1.00
   beta_1[189]      0.00      0.00      0.00     -0.00      0.00   2819.14      1.00
   beta_1[190]      0.00      0.00      0.00     -0.00      0.00   2939.20      1.00
   beta_1[191]      0.00      0.00      0.00     -0.00      0.00   2738.72      1.00
   beta_1[192]      0.00      0.00      0.00     -0.00      0.00   2924.10      1.00
   beta_1[193]      0.00      0.00      0.00     -0.00      0.00   2862.69      1.00
   beta_1[194]      0.00      0.00      0.00     -0.00      0.00   2458.59      1.00
