,state,date,h,mae
239,AK,2020-11-21,3,3.342550277709961
240,AK,2020-11-28,0,7.360805511474609
241,AK,2020-11-28,1,17.447736740112305
242,AK,2020-11-28,2,8.506000518798828
243,AK,2020-11-28,3,1.5177268981933594
244,AK,2020-12-05,0,15.062337875366211
245,AK,2020-12-05,1,11.754304885864258
246,AK,2020-12-05,2,5.74452018737793
247,AK,2020-12-05,3,8.919473648071289
248,AK,2020-12-12,0,18.499004364013672
249,AK,2020-12-12,1,15.111806869506836
250,AK,2020-12-12,2,21.446495056152344
251,AK,2020-12-12,3,33.712711334228516
252,AK,2020-12-19,0,1.8170509338378906
253,AK,2020-12-19,1,1.5089683532714844
254,AK,2020-12-19,2,6.323019981384277
255,AK,2020-12-19,3,9.24547290802002
256,AZ,2020-05-16,0,28.323226928710938
257,AZ,2020-05-16,1,86.12841796875
258,AZ,2020-05-16,2,92.95095825195312
259,AZ,2020-05-16,3,138.27398681640625
260,AZ,2020-05-23,0,23.76233673095703
261,AZ,2020-05-23,1,13.895309448242188
262,AZ,2020-05-23,2,24.048248291015625
263,AZ,2020-05-23,3,38.30958557128906
264,AZ,2020-05-30,0,44.528076171875
265,AZ,2020-05-30,1,56.82740020751953
266,AZ,2020-05-30,2,72.95854949951172
267,AZ,2020-05-30,3,154.8156280517578
268,AZ,2020-06-06,0,23.72894287109375
269,AZ,2020-06-06,1,17.901412963867188
270,AZ,2020-06-06,2,75.95658874511719
271,AZ,2020-06-06,3,57.20428466796875
272,AZ,2020-06-13,0,12.272994995117188
273,AZ,2020-06-13,1,68.01654052734375
274,AZ,2020-06-13,2,59.95445251464844
275,AZ,2020-06-13,3,145.35931396484375
276,AZ,2020-06-20,0,61.78680419921875
277,AZ,2020-06-20,1,49.24797058105469
278,AZ,2020-06-20,2,130.0126495361328
279,AZ,2020-06-20,3,357.3951721191406
280,AZ,2020-06-27,0,25.815261840820312
281,AZ,2020-06-27,1,98.86167907714844
282,AZ,2020-06-27,2,325.72198486328125
283,AZ,2020-06-27,3,283.3612365722656
284,AZ,2020-07-04,0,103.89329528808594
285,AZ,2020-07-04,1,319.9239196777344
286,AZ,2020-07-04,2,283.639404296875
287,AZ,2020-07-04,3,175.62368774414062
288,AZ,2020-07-11,0,305.82568359375
289,AZ,2020-07-11,1,265.44073486328125
290,AZ,2020-07-11,2,152.70004272460938
291,AZ,2020-07-11,3,61.1383056640625
292,AZ,2020-07-18,0,140.55133056640625
293,AZ,2020-07-18,1,1.656036376953125
294,AZ,2020-07-18,2,116.5238037109375
295,AZ,2020-07-18,3,202.16229248046875
296,AZ,2020-07-25,0,22.866546630859375
297,AZ,2020-07-25,1,119.10601806640625
298,AZ,2020-07-25,2,184.8712158203125
299,AZ,2020-07-25,3,307.70819091796875
300,AZ,2020-08-01,0,35.480224609375
301,AZ,2020-08-01,1,14.79412841796875
302,AZ,2020-08-01,2,70.6925048828125
303,AZ,2020-08-01,3,78.59375
304,AZ,2020-08-08,0,22.94830322265625
305,AZ,2020-08-08,1,60.01165771484375
306,AZ,2020-08-08,2,65.85440063476562
307,AZ,2020-08-08,3,108.87673950195312
308,AZ,2020-08-15,0,2.69952392578125
309,AZ,2020-08-15,1,6.849609375
310,AZ,2020-08-15,2,53.918060302734375
311,AZ,2020-08-15,3,142.09335327148438
312,AZ,2020-08-22,0,83.96115112304688
313,AZ,2020-08-22,1,54.741455078125
314,AZ,2020-08-22,2,30.7908935546875
315,AZ,2020-08-22,3,15.878250122070312
316,AZ,2020-08-29,0,57.01422119140625
317,AZ,2020-08-29,1,28.84002685546875
318,AZ,2020-08-29,2,17.861495971679688
319,AZ,2020-08-29,3,25.327926635742188
320,AZ,2020-09-05,0,26.347518920898438
321,AZ,2020-09-05,1,11.970733642578125
322,AZ,2020-09-05,2,8.562042236328125
323,AZ,2020-09-05,3,69.86988830566406
324,AZ,2020-09-12,0,54.04474639892578
325,AZ,2020-09-12,1,60.748046875
326,AZ,2020-09-12,2,11.033470153808594
327,AZ,2020-09-12,3,39.9114990234375
328,AZ,2020-09-19,0,52.50835418701172
329,AZ,2020-09-19,1,22.82311248779297
330,AZ,2020-09-19,2,55.113800048828125
331,AZ,2020-09-19,3,47.45391082763672
332,AZ,2020-09-26,0,36.583465576171875
333,AZ,2020-09-26,1,74.1732177734375
334,AZ,2020-09-26,2,72.17453002929688
335,AZ,2020-09-26,3,101.92771911621094
336,AZ,2020-10-03,0,43.75074768066406
337,AZ,2020-10-03,1,33.718544006347656
338,AZ,2020-10-03,2,52.507080078125
339,AZ,2020-10-03,3,13.685005187988281
340,AZ,2020-10-10,0,0.15627288818359375
341,AZ,2020-10-10,1,18.508644104003906
342,AZ,2020-10-10,2,47.6397705078125
343,AZ,2020-10-10,3,106.72277069091797
344,AZ,2020-10-17,0,11.558029174804688
345,AZ,2020-10-17,1,54.201416015625
346,AZ,2020-10-17,2,112.94807815551758
347,AZ,2020-10-17,3,98.66062545776367
348,AZ,2020-10-24,0,56.558712005615234
349,AZ,2020-10-24,1,111.66896438598633
350,AZ,2020-10-24,2,94.92066955566406
351,AZ,2020-10-24,3,97.1636962890625
352,AZ,2020-10-31,0,89.78994750976562
353,AZ,2020-10-31,1,66.03060913085938
354,AZ,2020-10-31,2,64.868896484375
355,AZ,2020-10-31,3,69.53990173339844
356,AZ,2020-11-07,0,46.82738494873047
357,AZ,2020-11-07,1,40.21040344238281
358,AZ,2020-11-07,2,38.650390625
359,AZ,2020-11-07,3,159.94898986816406
360,AZ,2020-11-14,0,27.720779418945312
361,AZ,2020-11-14,1,27.236282348632812
362,AZ,2020-11-14,2,152.76235961914062
363,AZ,2020-11-14,3,239.64151000976562
364,AZ,2020-11-21,0,37.64945983886719
365,AZ,2020-11-21,1,159.8808135986328
366,AZ,2020-11-21,2,251.13363647460938
367,AZ,2020-11-21,3,464.2892150878906
368,AZ,2020-11-28,0,167.61514282226562
369,AZ,2020-11-28,1,259.22193908691406
370,AZ,2020-11-28,2,472.55552673339844
371,AZ,2020-11-28,3,339.79920959472656
372,AZ,2020-12-05,0,182.75042724609375
373,AZ,2020-12-05,1,378.5547790527344
374,AZ,2020-12-05,2,231.93597412109375
375,AZ,2020-12-05,3,361.6064147949219
376,AZ,2020-12-12,0,347.70208740234375
377,AZ,2020-12-12,1,194.88232421875
378,AZ,2020-12-12,2,326.741455078125
379,AZ,2020-12-12,3,645.1708984375
380,AZ,2020-12-19,0,103.26431274414062
381,AZ,2020-12-19,1,201.57443237304688
382,AZ,2020-12-19,2,513.629638671875
383,AZ,2020-12-19,3,726.2515869140625
384,AR,2020-05-16,0,4.8232574462890625
385,AR,2020-05-16,1,8.637639999389648
386,AR,2020-05-16,2,13.763454914093018
387,AR,2020-05-16,3,17.4094820022583
388,AR,2020-05-23,0,2.056886672973633
389,AR,2020-05-23,1,2.4614524841308594
390,AR,2020-05-23,2,4.387483596801758
391,AR,2020-05-23,3,15.017784118652344
392,AR,2020-05-30,0,3.072713851928711
393,AR,2020-05-30,1,5.146881103515625
394,AR,2020-05-30,2,14.105510711669922
395,AR,2020-05-30,3,3.4685287475585938
396,AR,2020-06-06,0,1.2851009368896484
397,AR,2020-06-06,1,21.622549057006836
398,AR,2020-06-06,2,9.048614501953125
399,AR,2020-06-06,3,0.4510669708251953
400,AR,2020-06-13,0,18.80354118347168
401,AR,2020-06-13,1,3.8119468688964844
402,AR,2020-06-13,2,5.6954803466796875
403,AR,2020-06-13,3,1.2212867736816406
404,AR,2020-06-20,0,20.232295989990234
405,AR,2020-06-20,1,35.33072280883789
406,AR,2020-06-20,2,37.06486511230469
407,AR,2020-06-20,3,40.77747344970703
408,AR,2020-06-27,0,14.022289276123047
409,AR,2020-06-27,1,9.477020263671875
410,AR,2020-06-27,2,5.4123077392578125
411,AR,2020-06-27,3,2.378894805908203
412,AR,2020-07-04,0,0.6034927368164062
413,AR,2020-07-04,1,5.423625946044922
414,AR,2020-07-04,2,10.682981491088867
415,AR,2020-07-04,3,28.876203536987305
416,AR,2020-07-11,0,2.156902313232422
417,AR,2020-07-11,1,6.492298126220703
418,AR,2020-07-11,2,23.836795806884766
419,AR,2020-07-11,3,42.17454528808594
420,AR,2020-07-18,0,0.14345932006835938
421,AR,2020-07-18,1,14.465858459472656
422,AR,2020-07-18,2,29.72740936279297
423,AR,2020-07-18,3,14.787315368652344
424,AR,2020-07-25,0,14.1075439453125
425,AR,2020-07-25,1,29.473731994628906
426,AR,2020-07-25,2,15.070751190185547
427,AR,2020-07-25,3,22.56534194946289
428,AR,2020-08-01,0,21.399703979492188
429,AR,2020-08-01,1,6.310981750488281
430,AR,2020-08-01,2,13.592487335205078
431,AR,2020-08-01,3,33.79595947265625
432,AR,2020-08-08,0,8.147178649902344
433,AR,2020-08-08,1,5.394538879394531
434,AR,2020-08-08,2,9.625885009765625
435,AR,2020-08-08,3,12.922386169433594
436,AR,2020-08-15,0,5.4307098388671875
437,AR,2020-08-15,1,29.14734649658203
438,AR,2020-08-15,2,41.452423095703125
439,AR,2020-08-15,3,18.794273376464844
440,AR,2020-08-22,0,31.58563232421875
441,AR,2020-08-22,1,44.282623291015625
442,AR,2020-08-22,2,19.796974182128906
443,AR,2020-08-22,3,143.18373107910156
444,AR,2020-08-29,0,22.390380859375
445,AR,2020-08-29,1,8.609451293945312
446,AR,2020-08-29,2,107.64552307128906
447,AR,2020-08-29,3,9.852081298828125
448,AR,2020-09-05,0,18.608535766601562
449,AR,2020-09-05,1,99.25961303710938
450,AR,2020-09-05,2,16.271827697753906
451,AR,2020-09-05,3,6.287628173828125
452,AR,2020-09-12,0,111.95889282226562
453,AR,2020-09-12,1,5.32183837890625
454,AR,2020-09-12,2,25.80638885498047
455,AR,2020-09-12,3,51.23536682128906
456,AR,2020-09-19,0,5.425422668457031
457,AR,2020-09-19,1,26.17737579345703
458,AR,2020-09-19,2,51.80438232421875
459,AR,2020-09-19,3,41.41212463378906
460,AR,2020-09-26,0,26.099533081054688
461,AR,2020-09-26,1,48.99906921386719
462,AR,2020-09-26,2,36.262298583984375
463,AR,2020-09-26,3,17.482940673828125
464,AR,2020-10-03,0,28.7529296875
465,AR,2020-10-03,1,6.095245361328125
466,AR,2020-10-03,2,21.918914794921875
467,AR,2020-10-03,3,16.61920166015625
468,AR,2020-10-10,0,11.420166015625
469,AR,2020-10-10,1,32.31744384765625
470,AR,2020-10-10,2,18.762008666992188
471,AR,2020-10-10,3,5.25762939453125
472,AR,2020-10-17,0,26.750244140625
473,AR,2020-10-17,1,11.644882202148438
474,AR,2020-10-17,2,3.433349609375
475,AR,2020-10-17,3,48.477386474609375
476,AR,2020-10-24,0,4.2263031005859375
477,AR,2020-10-24,1,22.942489624023438
478,AR,2020-10-24,2,25.277313232421875
479,AR,2020-10-24,3,65.32987976074219
480,AR,2020-10-31,0,19.866531372070312
481,AR,2020-10-31,1,33.0721435546875
482,AR,2020-10-31,2,53.93091583251953
483,AR,2020-10-31,3,11.9765625
484,AR,2020-11-07,0,41.21272277832031
485,AR,2020-11-07,1,44.54486083984375
486,AR,2020-11-07,2,22.691726684570312
487,AR,2020-11-07,3,35.12115478515625
488,AR,2020-11-14,0,78.61697387695312
489,AR,2020-11-14,1,19.61042022705078
490,AR,2020-11-14,2,85.39066314697266
491,AR,2020-11-14,3,211.65882873535156
492,AR,2020-11-21,0,28.56610107421875
493,AR,2020-11-21,1,19.706939697265625
494,AR,2020-11-21,2,131.41920471191406
495,AR,2020-11-21,3,111.7471923828125
496,AR,2020-11-28,0,66.90847778320312
497,AR,2020-11-28,1,191.00198364257812
498,AR,2020-11-28,2,183.9083709716797
499,AR,2020-11-28,3,157.65492248535156
500,AR,2020-12-05,0,160.3319854736328
501,AR,2020-12-05,1,150.12220764160156
502,AR,2020-12-05,2,121.26123046875
503,AR,2020-12-05,3,160.30418395996094
504,AR,2020-12-12,0,54.9735107421875
505,AR,2020-12-12,1,9.486114501953125
506,AR,2020-12-12,2,9.66650390625
507,AR,2020-12-12,3,60.55181884765625
508,AR,2020-12-19,0,35.2520751953125
509,AR,2020-12-19,1,3.09942626953125
510,AR,2020-12-19,2,10.756805419921875
511,AR,2020-12-19,3,9.00640869140625
512,CA,2020-05-16,0,31.31988525390625
513,CA,2020-05-16,1,170.17364501953125
514,CA,2020-05-16,2,127.59130859375
515,CA,2020-05-16,3,135.11895751953125
516,CA,2020-05-23,0,144.49530029296875
517,CA,2020-05-23,1,122.91094970703125
518,CA,2020-05-23,2,132.1754150390625
519,CA,2020-05-23,3,197.4886474609375
520,CA,2020-05-30,0,15.65435791015625
521,CA,2020-05-30,1,35.469512939453125
522,CA,2020-05-30,2,0.693328857421875
523,CA,2020-05-30,3,3.1788330078125
524,CA,2020-06-06,0,64.6712646484375
525,CA,2020-06-06,1,171.19854736328125
526,CA,2020-06-06,2,228.884521484375
527,CA,2020-06-06,3,247.1866455078125
528,CA,2020-06-13,0,94.06982421875
529,CA,2020-06-13,1,153.8927001953125
530,CA,2020-06-13,2,136.3624267578125
531,CA,2020-06-13,3,110.34332275390625
532,CA,2020-06-20,0,55.7850341796875
533,CA,2020-06-20,1,17.880126953125
534,CA,2020-06-20,2,248.7923583984375
535,CA,2020-06-20,3,239.29415893554688
536,CA,2020-06-27,0,16.462646484375
537,CA,2020-06-27,1,232.66033935546875
538,CA,2020-06-27,2,215.30706787109375
539,CA,2020-06-27,3,246.87222290039062
540,CA,2020-07-04,0,251.19927978515625
541,CA,2020-07-04,1,209.66204833984375
542,CA,2020-07-04,2,257.83526611328125
543,CA,2020-07-04,3,505.19476318359375
544,CA,2020-07-11,0,13.7344970703125
545,CA,2020-07-11,1,30.75262451171875
546,CA,2020-07-11,2,148.1981201171875
547,CA,2020-07-11,3,117.78753662109375
548,CA,2020-07-18,0,80.46820068359375
549,CA,2020-07-18,1,87.72283935546875
550,CA,2020-07-18,2,63.87506103515625
