,state,date,h,mae
218,AK,2020-10-17,2,1076.68212890625
219,AK,2020-10-17,3,1927.975830078125
220,AK,2020-10-24,0,627.044677734375
221,AK,2020-10-24,1,497.986083984375
222,AK,2020-10-24,2,1166.583251953125
223,AK,2020-10-24,3,1256.3486328125
224,AK,2020-10-31,0,444.68505859375
225,AK,2020-10-31,1,12.047119140625
226,AK,2020-10-31,2,193.76025390625
227,AK,2020-10-31,3,313.73974609375
228,AK,2020-11-07,0,746.8515625
229,AK,2020-11-07,1,758.3583984375
230,AK,2020-11-07,2,780.818115234375
231,AK,2020-11-07,3,1391.443359375
232,AK,2020-11-14,0,805.0126953125
233,AK,2020-11-14,1,1082.28369140625
234,AK,2020-11-14,2,758.462890625
235,AK,2020-11-14,3,1505.39306640625
236,AK,2020-11-21,0,1237.26904296875
237,AK,2020-11-21,1,1038.87939453125
238,AK,2020-11-21,2,1981.3076171875
239,AK,2020-11-21,3,3213.8154296875
240,AK,2020-11-28,0,698.56787109375
241,AK,2020-11-28,1,1524.05322265625
242,AK,2020-11-28,2,2690.71337890625
243,AK,2020-11-28,3,4232.20947265625
244,AK,2020-12-05,0,1842.7353515625
245,AK,2020-12-05,1,3223.4521484375
246,AK,2020-12-05,2,4885.95654296875
247,AK,2020-12-05,3,4415.37060546875
248,AK,2020-12-12,0,2432.30859375
249,AK,2020-12-12,1,3829.1005859375
250,AK,2020-12-12,2,3315.06396484375
251,AK,2020-12-12,3,3521.14599609375
252,AK,2020-12-19,0,2322.24072265625
253,AK,2020-12-19,1,1514.315185546875
254,AK,2020-12-19,2,1457.8447265625
255,AK,2020-12-19,3,1795.52490234375
256,AZ,2020-05-16,0,1064.36376953125
257,AZ,2020-05-16,1,593.404052734375
258,AZ,2020-05-16,2,2116.9326171875
259,AZ,2020-05-16,3,4922.056640625
260,AZ,2020-05-23,0,205.3271484375
261,AZ,2020-05-23,1,3155.06982421875
262,AZ,2020-05-23,2,6171.259521484375
263,AZ,2020-05-23,3,12419.386474609375
264,AZ,2020-05-30,0,2413.146484375
265,AZ,2020-05-30,1,4989.1201171875
266,AZ,2020-05-30,2,10868.32275390625
267,AZ,2020-05-30,3,15103.255859375
268,AZ,2020-06-06,0,2491.33837890625
269,AZ,2020-06-06,1,6784.22265625
270,AZ,2020-06-06,2,9173.8828125
271,AZ,2020-06-06,3,11938.3681640625
272,AZ,2020-06-13,0,2124.521484375
273,AZ,2020-06-13,1,2641.001953125
274,AZ,2020-06-13,2,3715.42578125
275,AZ,2020-06-13,3,2620.576171875
276,AZ,2020-06-20,0,2092.041015625
277,AZ,2020-06-20,1,3932.2265625
278,AZ,2020-06-20,2,8334.71875
279,AZ,2020-06-20,3,16096.234375
280,AZ,2020-06-27,0,3594.87890625
281,AZ,2020-06-27,1,7328.134765625
282,AZ,2020-06-27,2,14029.86328125
283,AZ,2020-06-27,3,17399.9765625
284,AZ,2020-07-04,0,4502.28515625
285,AZ,2020-07-04,1,11942.91796875
286,AZ,2020-07-04,2,16489.58203125
287,AZ,2020-07-04,3,19731.9375
288,AZ,2020-07-11,0,10042.046875
289,AZ,2020-07-11,1,14563.37109375
290,AZ,2020-07-11,2,17850.33203125
291,AZ,2020-07-11,3,27072.05859375
292,AZ,2020-07-18,0,6830.22265625
293,AZ,2020-07-18,1,8154.337890625
294,AZ,2020-07-18,2,15581.44140625
295,AZ,2020-07-18,3,18252.236328125
296,AZ,2020-07-25,0,5391.509765625
297,AZ,2020-07-25,1,12736.837890625
298,AZ,2020-07-25,2,15111.734375
299,AZ,2020-07-25,3,16446.48046875
300,AZ,2020-08-01,0,11620.068359375
301,AZ,2020-08-01,1,14326.484375
302,AZ,2020-08-01,2,15701.673828125
303,AZ,2020-08-01,3,17500.865234375
304,AZ,2020-08-08,0,4024.755859375
305,AZ,2020-08-08,1,3798.462890625
306,AZ,2020-08-08,2,4748.4248046875
307,AZ,2020-08-08,3,3445.56640625
308,AZ,2020-08-15,0,1521.53466796875
309,AZ,2020-08-15,1,2212.7724609375
310,AZ,2020-08-15,2,667.8916015625
311,AZ,2020-08-15,3,1898.189453125
312,AZ,2020-08-22,0,1852.2314453125
313,AZ,2020-08-22,1,496.423828125
314,AZ,2020-08-22,2,1878.5361328125
315,AZ,2020-08-22,3,1042.22265625
316,AZ,2020-08-29,0,674.951171875
317,AZ,2020-08-29,1,558.742919921875
318,AZ,2020-08-29,2,2461.1748046875
319,AZ,2020-08-29,3,337.11572265625
320,AZ,2020-09-05,0,2118.3447265625
321,AZ,2020-09-05,1,196.68359375
322,AZ,2020-09-05,2,2486.05908203125
323,AZ,2020-09-05,3,2530.92333984375
324,AZ,2020-09-12,0,2375.189697265625
325,AZ,2020-09-12,1,316.41748046875
326,AZ,2020-09-12,2,637.1416015625
327,AZ,2020-09-12,3,1605.98583984375
328,AZ,2020-09-19,0,1620.5927734375
329,AZ,2020-09-19,1,1994.79052734375
330,AZ,2020-09-19,2,1511.74560546875
331,AZ,2020-09-19,3,895.14501953125
332,AZ,2020-09-26,0,945.61328125
333,AZ,2020-09-26,1,9.87109375
334,AZ,2020-09-26,2,910.5732421875
335,AZ,2020-09-26,3,1721.0869140625
336,AZ,2020-10-03,0,260.5419921875
337,AZ,2020-10-03,1,1160.68505859375
338,AZ,2020-10-03,2,2009.5859375
339,AZ,2020-10-03,3,4873.29541015625
340,AZ,2020-10-10,0,349.0283203125
341,AZ,2020-10-10,1,638.38037109375
342,AZ,2020-10-10,2,3048.0498046875
343,AZ,2020-10-10,3,5001.1650390625
