                     date locationtest  value abbreviation location  population
location_name                                                                  
New Hampshire  2020-01-24           33      0           NH       33   1359711.0
New Hampshire  2020-01-25           33      0           NH       33   1359711.0
New Hampshire  2020-01-26           33      0           NH       33   1359711.0
New Hampshire  2020-01-27           33      0           NH       33   1359711.0
New Hampshire  2020-01-28           33      0           NH       33   1359711.0
...                   ...          ...    ...          ...      ...         ...
New Hampshire  2021-01-07           33    423           NH       33   1359711.0
New Hampshire  2021-01-08           33    891           NH       33   1359711.0
New Hampshire  2021-01-09           33    719           NH       33   1359711.0
New Hampshire  2021-01-10           33    729           NH       33   1359711.0
New Hampshire  2021-01-11           33    707           NH       33   1359711.0

[354 rows x 6 columns]

                    mean       std    median      5.0%     95.0%     n_eff     r_hat
   beta_1[112]      0.02      0.00      0.02      0.01      0.02    979.02      1.00
   beta_1[113]      0.02      0.00      0.02      0.01      0.02   1032.60      1.00
   beta_1[114]      0.01      0.00      0.01      0.01      0.02   1148.08      1.00
   beta_1[115]      0.01      0.00      0.01      0.01      0.02   1230.91      1.00
   beta_1[116]      0.01      0.00      0.01      0.01      0.02   1219.77      1.00
   beta_1[117]      0.01      0.00      0.01      0.01      0.02   1321.32      1.00
   beta_1[118]      0.01      0.00      0.01      0.01      0.02   1464.08      1.00
   beta_1[119]      0.01      0.00      0.01      0.01      0.02   1269.60      1.00
   beta_1[120]      0.01      0.00      0.01      0.01      0.02   1617.21      1.00
   beta_1[121]      0.01      0.00      0.01      0.01      0.01   1619.64      1.00
   beta_1[122]      0.01      0.00      0.01      0.01      0.01   1593.84      1.00
   beta_1[123]      0.01      0.00      0.01      0.01      0.01   1812.36      1.00
   beta_1[124]      0.01      0.00      0.01      0.01      0.01   1699.51      1.00
   beta_1[125]      0.01      0.00      0.01      0.01      0.01   1779.72      1.00
   beta_1[126]      0.01      0.00      0.01      0.01      0.01   1623.07      1.00
   beta_1[127]      0.01      0.00      0.01      0.01      0.01   1680.67      1.00
   beta_1[128]      0.01      0.00      0.01      0.01      0.01   1650.33      1.00
